time_iso8601,cases_Hechler
1/3/2020,1
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,1
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,2
1/30/2020,2
1/31/2020,0
2/1/2020,4
2/2/2020,1
2/3/2020,0
2/4/2020,1
2/5/2020,4
2/6/2020,2
2/7/2020,1
2/8/2020,1
2/9/2020,0
2/10/2020,0
2/11/2020,1
2/12/2020,2
2/13/2020,1
2/14/2020,0
2/15/2020,0
2/16/2020,1
2/17/2020,0
2/18/2020,2
2/19/2020,1
2/20/2020,1
2/21/2020,2
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,1
2/26/2020,3
2/27/2020,8
2/28/2020,24
2/29/2020,45
3/1/2020,24
3/2/2020,36
3/3/2020,45
3/4/2020,88
3/5/2020,163
3/6/2020,193
3/7/2020,193
3/8/2020,147
3/9/2020,110
3/10/2020,360
3/11/2020,616
3/12/2020,785
3/13/2020,1026
3/14/2020,1519
3/15/2020,1350
3/16/2020,1015
3/17/2020,2111
3/18/2020,3148
3/19/2020,3734
3/20/2020,4194
3/21/2020,4201
3/22/2020,3477
3/23/2020,2347
3/24/2020,3864
3/25/2020,5051
3/26/2020,5886
3/27/2020,6114
3/28/2020,6195
3/29/2020,4893
3/30/2020,3191
3/31/2020,4278
4/1/2020,10455
4/2/2020,10807
4/3/2020,11301
4/4/2020,10674
4/5/2020,7491
4/6/2020,4374
4/7/2020,6321
4/8/2020,8952
4/9/2020,9113
4/10/2020,8483
4/11/2020,5782
4/12/2020,4966
4/13/2020,3225
4/14/2020,2759
4/15/2020,4260
4/16/2020,5737
4/17/2020,5898
4/18/2020,5261
4/19/2020,3637
4/20/2020,2374
4/21/2020,2954
4/22/2020,3772
4/23/2020,4297
4/24/2020,3610
4/25/2020,3287
4/26/2020,2195
4/27/2020,1204
4/28/2020,1922
4/29/2020,2542
4/30/2020,2464
5/1/2020,3231
5/2/2020,2026
5/3/2020,1373
5/4/2020,933
5/5/2020,1604
5/6/2020,2414
5/7/2020,2690
5/8/2020,2655
5/9/2020,2163
5/10/2020,1494
5/11/2020,753
5/12/2020,1520
5/13/2020,1882
5/14/2020,2017
5/15/2020,1792
5/16/2020,1620
5/17/2020,1020
5/18/2020,700
5/19/2020,1192
5/20/2020,1611
5/21/2020,1836
5/22/2020,922
5/23/2020,1161
5/24/2020,744
5/25/2020,483
5/26/2020,907
5/27/2020,1362
5/28/2020,1441
5/29/2020,1167
5/30/2020,984
5/31/2020,825
6/1/2020,190
6/2/2020,145
6/3/2020,327
6/4/2020,530
6/5/2020,564
6/6/2020,461
6/7/2020,304
6/8/2020,175
6/9/2020,314
6/10/2020,454
6/11/2020,552
6/12/2020,302
6/13/2020,376
6/14/2020,321
6/15/2020,183
6/16/2020,276
6/17/2020,552
6/18/2020,924
6/19/2020,815
6/20/2020,1055
6/21/2020,607
6/22/2020,238
6/23/2020,476
6/24/2020,575
6/25/2020,543
6/26/2020,607
6/27/2020,611
6/28/2020,347
6/29/2020,214
6/30/2020,443
7/1/2020,379
7/2/2020,398
7/3/2020,390
7/4/2020,353
7/5/2020,243
7/6/2020,120
7/7/2020,267
7/8/2020,329
7/9/2020,373
7/10/2020,349
7/11/2020,353
7/12/2020,229
7/13/2020,109
7/14/2020,272
7/15/2020,389
7/16/2020,449
7/17/2020,463
7/18/2020,433
7/19/2020,363
7/20/2020,148
7/21/2020,373
7/22/2020,435
7/23/2020,581
7/24/2020,572
7/25/2020,666
7/26/2020,450
7/27/2020,175
7/28/2020,436
7/29/2020,625
7/30/2020,757
7/31/2020,716
8/1/2020,1307
8/2/2020,806
8/3/2020,432
8/4/2020,1141
8/5/2020,1362
8/6/2020,1591
8/7/2020,1675
8/8/2020,1439
8/9/2020,1017
8/10/2020,454
8/11/2020,1581
8/12/2020,1705
8/13/2020,2212
8/14/2020,2153
8/15/2020,1967
8/16/2020,1087
8/17/2020,704
8/18/2020,2203
8/19/2020,2188
8/20/2020,2508
8/21/2020,2319
8/22/2020,2372
8/23/2020,1316
8/24/2020,808
8/25/2020,2045
8/26/2020,2130
8/27/2020,2321
8/28/2020,2213
8/29/2020,1993
8/30/2020,1193
8/31/2020,765
9/1/2020,1629
9/2/2020,1830
9/3/2020,1954
9/4/2020,2097
9/5/2020,2073
9/6/2020,1531
9/7/2020,801
9/8/2020,1956
9/9/2020,1911
9/10/2020,2415
9/11/2020,2199
9/12/2020,2307
9/13/2020,1700
9/14/2020,1055
9/15/2020,2061
9/16/2020,2767
9/17/2020,3016
9/18/2020,3266
9/19/2020,2999
9/20/2020,1926
9/21/2020,954
9/22/2020,2285
9/23/2020,2505
9/24/2020,3064
9/25/2020,3306
9/26/2020,3229
9/27/2020,2469
9/28/2020,1210
9/29/2020,2537
9/30/2020,2992
10/1/2020,3146
10/2/2020,3365
10/3/2020,3365
10/4/2020,2523
10/5/2020,1328
10/6/2020,2774
10/7/2020,4119
10/8/2020,5169
10/9/2020,5368
10/10/2020,5823
10/11/2020,4165
10/12/2020,2613
10/13/2020,4815
10/14/2020,6163
10/15/2020,8325
10/16/2020,9077
10/17/2020,9163
10/18/2020,6510
10/19/2020,4222
10/20/2020,7413
10/21/2020,10838
10/22/2020,14244
10/23/2020,15977
10/24/2020,16138
10/25/2020,12736
10/26/2020,8564
10/27/2020,13819
10/28/2020,18320
10/29/2020,22111
10/30/2020,22794
10/31/2020,22293
11/1/2020,21270
11/2/2020,16016
11/3/2020,23174
11/4/2020,29407
11/5/2020,32240
11/6/2020,33881
11/7/2020,32789
11/8/2020,24206
11/9/2020,15396
11/10/2020,24322
11/11/2020,29830
11/12/2020,34527
11/13/2020,35830
11/14/2020,32419
11/15/2020,24034
11/16/2020,13452
11/17/2020,22348
11/18/2020,30989
11/19/2020,35994
11/20/2020,36120
11/21/2020,33934
11/22/2020,22446
11/23/2020,13393
11/24/2020,22909
11/25/2020,29514
11/26/2020,33487
11/27/2020,34577
11/28/2020,30648
11/29/2020,22721
11/30/2020,13351
12/1/2020,20326
12/2/2020,29464
12/3/2020,35463
12/4/2020,37379
12/5/2020,33876
12/6/2020,24033
12/7/2020,15626
12/8/2020,25085
12/9/2020,34891
12/10/2020,42219
12/11/2020,44370
12/12/2020,41668
12/13/2020,31532
12/14/2020,19109
12/15/2020,29062
12/16/2020,41132
12/17/2020,47954
12/18/2020,48865
12/19/2020,45390
12/20/2020,33217
12/21/2020,21268
12/22/2020,30991
12/23/2020,44243
12/24/2020,51886
12/25/2020,32288
12/26/2020,20097
12/27/2020,17660
12/28/2020,14995
12/29/2020,24001
12/30/2020,42118
12/31/2020,47483
1/1/2021,30789
1/2/2021,16127
1/3/2021,15745
1/4/2021,13892
1/5/2021,22603
1/6/2021,43176
1/7/2021,43984
1/8/2021,41067
1/9/2021,38625
1/10/2021,26239
1/11/2021,13338
1/12/2021,21244
1/13/2021,35566
1/14/2021,37953
1/15/2021,32109
1/16/2021,28845
1/17/2021,21142
1/18/2021,10380
1/19/2021,14434
1/20/2021,29072
1/21/2021,30657
1/22/2021,26485
1/23/2021,23667
1/24/2021,18223
1/25/2021,7894
1/26/2021,10625
1/27/2021,24429
1/28/2021,24900
1/29/2021,21036
1/30/2021,19782
1/31/2021,15666
2/1/2021,6480
2/2/2021,9024
2/3/2021,18932
2/4/2021,20653
2/5/2021,17736
2/6/2021,15424
2/7/2021,12900
2/8/2021,4761
2/9/2021,6463
2/10/2021,13993
2/11/2021,15824
2/12/2021,14421
2/13/2021,13138
2/14/2021,8598
2/15/2021,5789
2/16/2021,6755
2/17/2021,14208
2/18/2021,15381
2/19/2021,14176
2/20/2021,13412
2/21/2021,11959
2/22/2021,4651
2/23/2021,6782
2/24/2021,15647
2/25/2021,17403
2/26/2021,15236
2/27/2021,14573
2/28/2021,11790
3/1/2021,4766
3/2/2021,6474
3/3/2021,15144
3/4/2021,15620
3/5/2021,13996
3/6/2021,13329
3/7/2021,11457
3/8/2021,4642
3/9/2021,6696
3/10/2021,15900
3/11/2021,19333
3/12/2021,18173
3/13/2021,17338
3/14/2021,14453
3/15/2021,6676
3/16/2021,9461
3/17/2021,21799
3/18/2021,25350
3/19/2021,23105
3/20/2021,21680
3/21/2021,18250
3/22/2021,8222
3/23/2021,12291
3/24/2021,26856
3/25/2021,31260
3/26/2021,30252
3/27/2021,27670
3/28/2021,21793
3/29/2021,10469
3/30/2021,15193
3/31/2021,28150
4/1/2021,36260
4/2/2021,32374
4/3/2021,23402
4/4/2021,16024
4/5/2021,10799
4/6/2021,10612
4/7/2021,17383
4/8/2021,35867
4/9/2021,38934
4/10/2021,35211
4/11/2021,27293
4/12/2021,13380
4/13/2021,18319
4/14/2021,40401
4/15/2021,43164
4/16/2021,37890
4/17/2021,34893
4/18/2021,26740
4/19/2021,13307
4/20/2021,18594
4/21/2021,42280
4/22/2021,44407
4/23/2021,38444
4/24/2021,34713
4/25/2021,27204
4/26/2021,13097
4/27/2021,18422
4/28/2021,38175
4/29/2021,37794
4/30/2021,32350
5/1/2021,33233
5/2/2021,26097
5/3/2021,11532
5/4/2021,15803
5/5/2021,36376
5/6/2021,36154
5/7/2021,29751
5/8/2021,26826
5/9/2021,20834
5/10/2021,9224
5/11/2021,12814
5/12/2021,29043
5/13/2021,28557
5/14/2021,16762
5/15/2021,13239
5/16/2021,14909
5/17/2021,7410
5/18/2021,9098
5/19/2021,21358
5/20/2021,19604
5/21/2021,14613
5/22/2021,13143
5/23/2021,10095
5/24/2021,3473
5/25/2021,3121
5/26/2021,6362
5/27/2021,12396
5/28/2021,11778
5/29/2021,8974
5/30/2021,6403
5/31/2021,2788
6/1/2021,4653
6/2/2021,9741
6/3/2021,8561
6/4/2021,5598
6/5/2021,4338
6/6/2021,4407
6/7/2021,2168
6/8/2021,3273
6/9/2021,6748
6/10/2021,5464
6/11/2021,4349
6/12/2021,3513
6/13/2021,2502
6/14/2021,985
6/15/2021,1779
6/16/2021,3250
6/17/2021,2752
6/18/2021,2218
6/19/2021,1973
6/20/2021,1407
6/21/2021,527
6/22/2021,1162
6/23/2021,2040
6/24/2021,1725
6/25/2021,1582
6/26/2021,1414
6/27/2021,924
6/28/2021,426
6/29/2021,998
6/30/2021,1718
7/1/2021,1123
7/2/2021,921
7/3/2021,868
7/4/2021,659
7/5/2021,268
7/6/2021,720
7/7/2021,1379
7/8/2021,1247
7/9/2021,1240
7/10/2021,1230
7/11/2021,1027
7/12/2021,403
7/13/2021,1038
7/14/2021,2285
7/15/2021,2105
7/16/2021,1969
7/17/2021,2096
7/18/2021,1659
7/19/2021,645
7/20/2021,1855
7/21/2021,3029
7/22/2021,2974
7/23/2021,2882
7/24/2021,2745
7/25/2021,2064
7/26/2021,825
7/27/2021,2156
7/28/2021,4013
7/29/2021,3686
7/30/2021,3413
7/31/2021,3273
8/1/2021,2709
8/2/2021,1080
8/3/2021,2925
8/4/2021,5180
8/5/2021,4883
8/6/2021,4870
8/7/2021,4886
8/8/2021,3850
8/9/2021,1574
8/10/2021,4033
8/11/2021,7677
8/12/2021,7785
8/13/2021,7519
8/14/2021,7981
8/15/2021,6395
8/16/2021,2852
8/17/2021,6240
8/18/2021,12304
8/19/2021,12075
8/20/2021,11980
8/21/2021,12195
8/22/2021,9410
8/23/2021,4268
8/24/2021,9065
8/25/2021,17795
8/26/2021,17544
8/27/2021,16035
8/28/2021,14347
8/29/2021,11591
8/30/2021,5154
8/31/2021,9779
9/1/2021,21960
9/2/2021,22211
9/3/2021,19164
9/4/2021,18189
9/5/2021,14280
9/6/2021,6095
9/7/2021,10569
9/8/2021,22775
9/9/2021,21327
9/10/2021,18670
9/11/2021,16778
9/12/2021,12884
9/13/2021,4942
9/14/2021,10359
9/15/2021,20170
9/16/2021,18418
9/17/2021,15476
9/18/2021,13383
9/19/2021,10600
9/20/2021,4186
9/21/2021,8152
9/22/2021,16960
9/23/2021,15751
9/24/2021,13685
9/25/2021,12672
9/26/2021,9565
9/27/2021,3990
9/28/2021,8687
9/29/2021,19056
9/30/2021,17144
10/1/2021,12673
10/2/2021,11193
10/3/2021,8204
10/4/2021,3531
10/5/2021,7564
10/6/2021,16306
10/7/2021,14825
10/8/2021,13528
10/9/2021,12297
10/10/2021,9366
10/11/2021,3519
10/12/2021,8354
10/13/2021,16868
10/14/2021,16090
10/15/2021,15123
10/16/2021,14881
10/17/2021,11325
10/18/2021,4552
10/19/2021,10862
10/20/2021,25560
10/21/2021,23989
10/22/2021,23084
10/23/2021,22244
10/24/2021,17725
10/25/2021,6909
10/26/2021,15835
10/27/2021,35211
10/28/2021,36431
10/29/2021,32482
10/30/2021,30103
10/31/2021,22783
11/1/2021,10715
11/2/2021,16506
11/3/2021,35084
11/4/2021,51967
11/5/2021,52433
11/6/2021,48510
11/7/2021,34173
11/8/2021,17051
11/9/2021,34928
11/10/2021,67864
11/11/2021,73100
11/12/2021,71510
11/13/2021,66255
11/14/2021,48842
11/15/2021,27368
11/16/2021,49722
11/17/2021,90581
11/18/2021,90846
11/19/2021,88025
11/20/2021,89929
11/21/2021,60854
11/22/2021,35622
11/23/2021,67086
11/24/2021,107177
11/25/2021,108870
11/26/2021,103318
11/27/2021,92138
11/28/2021,64589
11/29/2021,36718
11/30/2021,63751
12/1/2021,120850
12/2/2021,121520
12/3/2021,111634
12/4/2021,102649
12/5/2021,69745
12/6/2021,37866
12/7/2021,69788
12/8/2021,113834
12/9/2021,110329
12/10/2021,94671
12/11/2021,83941
12/12/2021,56835
12/13/2021,25501
12/14/2021,51880
12/15/2021,98845
12/16/2021,86069
12/17/2021,77586
12/18/2021,67749
12/19/2021,46825
12/20/2021,20073
12/21/2021,44259
12/22/2021,79216
12/23/2021,67169
12/24/2021,57426
12/25/2021,35944
12/26/2021,17112
12/27/2021,17087
12/28/2021,40189
12/29/2021,71157
12/30/2021,68379
12/31/2021,68066
1/1/2022,53859
1/2/2022,26455
1/3/2022,27108
1/4/2022,66862
1/5/2022,120026
1/6/2022,119924
1/7/2022,104671
1/8/2022,103920
1/9/2022,68889
1/10/2022,44156
1/11/2022,99899
1/12/2022,160144
1/13/2022,164425
1/14/2022,156351
1/15/2022,150169
1/16/2022,106653
1/17/2022,66217
1/18/2022,153833
1/19/2022,235710
1/20/2022,260683
1/21/2022,268918
1/22/2022,268105
1/23/2022,179163
1/24/2022,115267
1/25/2022,259216
1/26/2022,359859
1/27/2022,362457
1/28/2022,370360
1/29/2022,349448
1/30/2022,232197
1/31/2022,139184
2/1/2022,401769
2/2/2022,582616
2/3/2022,604432
2/4/2022,598317
2/5/2022,529440
2/6/2022,336475
2/7/2022,209214
2/8/2022,449603
2/9/2022,633354
2/10/2022,624426
2/11/2022,580655
2/12/2022,521521
2/13/2022,309183
2/14/2022,187345
2/15/2022,400778
2/16/2022,577811
2/17/2022,580887
2/18/2022,538265
2/19/2022,451700
2/20/2022,302564
2/21/2022,162155
2/22/2022,352586
2/23/2022,552152
2/24/2022,525672
2/25/2022,479580
2/26/2022,433629
2/27/2022,274644
2/28/2022,140175
3/1/2022,310112
3/2/2022,467286
3/3/2022,495301
3/4/2022,512731
3/5/2022,458237
3/6/2022,295165
3/7/2022,192539
3/8/2022,399950
3/9/2022,597417
3/10/2022,630481
3/11/2022,613234
3/12/2022,575377
3/13/2022,376009
3/14/2022,214641
3/15/2022,501186
3/16/2022,687141
3/17/2022,740625
3/18/2022,710460
3/19/2022,613911
3/20/2022,345268
3/21/2022,215299
3/22/2022,572837
3/23/2022,734714
3/24/2022,741801
3/25/2022,689529
3/26/2022,588457
3/27/2022,333354
3/28/2022,168029
3/29/2022,498545
3/30/2022,661116
3/31/2022,626307
4/1/2022,662833
4/2/2022,520109
4/3/2022,266044
4/4/2022,133096
4/5/2022,443737
4/6/2022,602303
4/7/2022,539705
4/8/2022,479063
4/9/2022,408131
4/10/2022,217459
4/11/2022,122080
4/12/2022,400937
4/13/2022,520423
4/14/2022,453956
4/15/2022,430152
4/16/2022,174125
4/17/2022,148578
4/18/2022,97824
4/19/2022,105564
4/20/2022,453348
4/21/2022,512661
4/22/2022,444911
4/23/2022,341262
4/24/2022,155543
4/25/2022,77126
4/26/2022,339696
4/27/2022,398026
4/28/2022,329814
4/29/2022,270544
4/30/2022,223533
5/1/2022,98406
5/2/2022,45857
5/3/2022,250251
5/4/2022,307708
5/5/2022,259859
5/6/2022,232296
5/7/2022,194150
5/8/2022,78008
5/9/2022,38605
5/10/2022,245173
5/11/2022,273970
5/12/2022,222910
5/13/2022,187791
5/14/2022,164436
5/15/2022,58124
5/16/2022,27884
5/17/2022,189719
5/18/2022,196734
5/19/2022,155467
5/20/2022,127906
5/21/2022,115489
5/22/2022,39926
5/23/2022,20043
5/24/2022,136052
5/25/2022,134875
5/26/2022,102253
5/27/2022,24092
5/28/2022,94218
5/29/2022,30705
5/30/2022,18713
5/31/2022,135525
6/1/2022,113722
6/2/2022,99211
6/3/2022,93600
6/4/2022,87038
6/5/2022,28200
6/6/2022,15720
6/7/2022,20724
6/8/2022,157393
6/9/2022,181195
6/10/2022,157316
6/11/2022,144092
6/12/2022,43621
6/13/2022,27194
6/14/2022,192114
6/15/2022,206537
6/16/2022,180716
6/17/2022,82288
6/18/2022,171160
6/19/2022,51097
6/20/2022,29346
6/21/2022,232976
6/22/2022,274941
6/23/2022,250565
6/24/2022,223729
6/25/2022,192441
6/26/2022,60058
6/27/2022,32659
6/28/2022,258026
6/29/2022,304761
6/30/2022,276161
7/1/2022,362040
7/2/2022,311463
7/3/2022,78514
7/4/2022,44604
7/5/2022,396554
7/6/2022,448471
7/7/2022,418433
7/8/2022,364014
7/9/2022,313890
7/10/2022,77611
7/11/2022,47179
7/12/2022,430001
7/13/2022,474763
7/14/2022,445184
7/15/2022,383899
7/16/2022,356652
7/17/2022,83138
7/18/2022,43124
7/19/2022,441142
7/20/2022,470688
7/21/2022,400895
7/22/2022,340385
7/23/2022,293840
7/24/2022,73090
7/25/2022,39295
7/26/2022,394755
