time_iso8601,cases_Paessler
1/3/2020,1
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,1
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,2
1/30/2020,2
1/31/2020,0
2/1/2020,4
2/2/2020,1
2/3/2020,0
2/4/2020,1
2/5/2020,4
2/6/2020,2
2/7/2020,1
2/8/2020,1
2/9/2020,0
2/10/2020,0
2/11/2020,1
2/12/2020,2
2/13/2020,1
2/14/2020,0
2/15/2020,0
2/16/2020,1
2/17/2020,0
2/18/2020,2
2/19/2020,1
2/20/2020,1
2/21/2020,2
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,1
2/26/2020,3
2/27/2020,8
2/28/2020,24
2/29/2020,45
3/1/2020,37
3/2/2020,56
3/3/2020,69
3/4/2020,136
3/5/2020,251
3/6/2020,298
3/7/2020,298
3/8/2020,227
3/9/2020,170
3/10/2020,557
3/11/2020,952
3/12/2020,1213
3/13/2020,1585
3/14/2020,2347
3/15/2020,2084
3/16/2020,1568
3/17/2020,3260
3/18/2020,4861
3/19/2020,5767
3/20/2020,6477
3/21/2020,6488
3/22/2020,5370
3/23/2020,3625
3/24/2020,5968
3/25/2020,7801
3/26/2020,9091
3/27/2020,9443
3/28/2020,9567
3/29/2020,7557
3/30/2020,4928
3/31/2020,6606
4/1/2020,9694
4/2/2020,10020
4/3/2020,10478
4/4/2020,9897
4/5/2020,6945
4/6/2020,4056
4/7/2020,5860
4/8/2020,8300
4/9/2020,8449
4/10/2020,7865
4/11/2020,5361
4/12/2020,4605
4/13/2020,2990
4/14/2020,2558
4/15/2020,3950
4/16/2020,5320
4/17/2020,5469
4/18/2020,4878
4/19/2020,3373
4/20/2020,2201
4/21/2020,2739
4/22/2020,3497
4/23/2020,3984
4/24/2020,3347
4/25/2020,3048
4/26/2020,2035
4/27/2020,1117
4/28/2020,1782
4/29/2020,2357
4/30/2020,2285
5/1/2020,2342
5/2/2020,1469
5/3/2020,995
5/4/2020,677
5/5/2020,1163
5/6/2020,1750
5/7/2020,1950
5/8/2020,1925
5/9/2020,1568
5/10/2020,1083
5/11/2020,546
5/12/2020,1102
5/13/2020,1365
5/14/2020,1462
5/15/2020,1299
5/16/2020,1174
5/17/2020,739
5/18/2020,507
5/19/2020,864
5/20/2020,1168
5/21/2020,1331
5/22/2020,669
5/23/2020,842
5/24/2020,539
5/25/2020,350
5/26/2020,658
5/27/2020,987
5/28/2020,1045
5/29/2020,846
5/30/2020,714
5/31/2020,598
6/1/2020,285
6/2/2020,218
6/3/2020,491
6/4/2020,795
6/5/2020,846
6/6/2020,693
6/7/2020,456
6/8/2020,262
6/9/2020,472
6/10/2020,682
6/11/2020,829
6/12/2020,453
6/13/2020,565
6/14/2020,482
6/15/2020,275
6/16/2020,414
6/17/2020,829
6/18/2020,1387
6/19/2020,1224
6/20/2020,1584
6/21/2020,912
6/22/2020,357
6/23/2020,715
6/24/2020,864
6/25/2020,816
6/26/2020,912
6/27/2020,917
6/28/2020,522
6/29/2020,322
6/30/2020,666
7/1/2020,733
7/2/2020,770
7/3/2020,754
7/4/2020,683
7/5/2020,470
7/6/2020,232
7/7/2020,517
7/8/2020,635
7/9/2020,722
7/10/2020,675
7/11/2020,683
7/12/2020,443
7/13/2020,211
7/14/2020,525
7/15/2020,752
7/16/2020,867
7/17/2020,894
7/18/2020,837
7/19/2020,702
7/20/2020,286
7/21/2020,722
7/22/2020,842
7/23/2020,1123
7/24/2020,1106
7/25/2020,1288
7/26/2020,870
7/27/2020,339
7/28/2020,843
7/29/2020,1208
7/30/2020,1462
7/31/2020,1384
8/1/2020,1461
8/2/2020,901
8/3/2020,483
8/4/2020,1275
8/5/2020,1522
8/6/2020,1778
8/7/2020,1872
8/8/2020,1608
8/9/2020,1136
8/10/2020,507
8/11/2020,1766
8/12/2020,1906
8/13/2020,2472
8/14/2020,2406
8/15/2020,2198
8/16/2020,1214
8/17/2020,787
8/18/2020,2462
8/19/2020,2445
8/20/2020,2803
8/21/2020,2592
8/22/2020,2651
8/23/2020,1470
8/24/2020,902
8/25/2020,2285
8/26/2020,2381
8/27/2020,2594
8/28/2020,2474
8/29/2020,2227
8/30/2020,1333
8/31/2020,854
9/1/2020,1883
9/2/2020,2115
9/3/2020,2259
9/4/2020,2424
9/5/2020,2397
9/6/2020,1770
9/7/2020,926
9/8/2020,2261
9/9/2020,2210
9/10/2020,2792
9/11/2020,2542
9/12/2020,2667
9/13/2020,1965
9/14/2020,1219
9/15/2020,2382
9/16/2020,3198
9/17/2020,3486
9/18/2020,3776
9/19/2020,3467
9/20/2020,2227
9/21/2020,1102
9/22/2020,2642
9/23/2020,2896
9/24/2020,3542
9/25/2020,3822
9/26/2020,3733
9/27/2020,2854
9/28/2020,1398
9/29/2020,2933
9/30/2020,3459
10/1/2020,4383
10/2/2020,4687
10/3/2020,4687
10/4/2020,3514
10/5/2020,1850
10/6/2020,3864
10/7/2020,5738
10/8/2020,7200
10/9/2020,7477
10/10/2020,8111
10/11/2020,5802
10/12/2020,3640
10/13/2020,6707
10/14/2020,8584
10/15/2020,11596
10/16/2020,12644
10/17/2020,12764
10/18/2020,9067
10/19/2020,5880
10/20/2020,10325
10/21/2020,15096
10/22/2020,19841
10/23/2020,22254
10/24/2020,22479
10/25/2020,17740
10/26/2020,11928
10/27/2020,19249
10/28/2020,25518
10/29/2020,30798
10/30/2020,31750
10/31/2020,31052
11/1/2020,22385
11/2/2020,16855
11/3/2020,24388
11/4/2020,30949
11/5/2020,33930
11/6/2020,35656
11/7/2020,34507
11/8/2020,25475
11/9/2020,16202
11/10/2020,25596
11/11/2020,31394
11/12/2020,36336
11/13/2020,37707
11/14/2020,34118
11/15/2020,25294
11/16/2020,14157
11/17/2020,23520
11/18/2020,32613
11/19/2020,37880
11/20/2020,38013
11/21/2020,35712
11/22/2020,23622
11/23/2020,14095
11/24/2020,24110
11/25/2020,31061
11/26/2020,35242
11/27/2020,36389
11/28/2020,32254
11/29/2020,23912
11/30/2020,14050
12/1/2020,21099
12/2/2020,30585
12/3/2020,36812
12/4/2020,38801
12/5/2020,35165
12/6/2020,24948
12/7/2020,16221
12/8/2020,26040
12/9/2020,36219
12/10/2020,43825
12/11/2020,46058
12/12/2020,43254
12/13/2020,32732
12/14/2020,19836
12/15/2020,30167
12/16/2020,42697
12/17/2020,49778
12/18/2020,50724
12/19/2020,47117
12/20/2020,34481
12/21/2020,22077
12/22/2020,32170
12/23/2020,45926
12/24/2020,53860
12/25/2020,33516
12/26/2020,20861
12/27/2020,18332
12/28/2020,15565
12/29/2020,24914
12/30/2020,43720
12/31/2020,49289
1/1/2021,26842
1/2/2021,14060
1/3/2021,13726
1/4/2021,12111
1/5/2021,19705
1/6/2021,37641
1/7/2021,38345
1/8/2021,35802
1/9/2021,33673
1/10/2021,22875
1/11/2021,11628
1/12/2021,18520
1/13/2021,31006
1/14/2021,33087
1/15/2021,27992
1/16/2021,25147
1/17/2021,18431
1/18/2021,9049
1/19/2021,12583
1/20/2021,25345
1/21/2021,26727
1/22/2021,23090
1/23/2021,20633
1/24/2021,15887
1/25/2021,6882
1/26/2021,9263
1/27/2021,21297
1/28/2021,21707
1/29/2021,18339
1/30/2021,17245
1/31/2021,13658
2/1/2021,6552
2/2/2021,9125
2/3/2021,19144
2/4/2021,20884
2/5/2021,17934
2/6/2021,15597
2/7/2021,13044
2/8/2021,4814
2/9/2021,6535
2/10/2021,14149
2/11/2021,16001
2/12/2021,14582
2/13/2021,13285
2/14/2021,8694
2/15/2021,5854
2/16/2021,6831
2/17/2021,14367
2/18/2021,15553
2/19/2021,14334
2/20/2021,13562
2/21/2021,12093
2/22/2021,4703
2/23/2021,6857
2/24/2021,15822
2/25/2021,17598
2/26/2021,15407
2/27/2021,14736
2/28/2021,11922
3/1/2021,6190
3/2/2021,8409
3/3/2021,19668
3/4/2021,20287
3/5/2021,18178
3/6/2021,17312
3/7/2021,14880
3/8/2021,6029
3/9/2021,8697
3/10/2021,20651
3/11/2021,25109
3/12/2021,23603
3/13/2021,22518
3/14/2021,18772
3/15/2021,8670
3/16/2021,12287
3/17/2021,28312
3/18/2021,32924
3/19/2021,30008
3/20/2021,28158
3/21/2021,23703
3/22/2021,10679
3/23/2021,15964
3/24/2021,34881
3/25/2021,40599
3/26/2021,39290
3/27/2021,35937
3/28/2021,28305
3/29/2021,13596
3/30/2021,19733
3/31/2021,36561
4/1/2021,41765
4/2/2021,37290
4/3/2021,26955
4/4/2021,18457
4/5/2021,12439
4/6/2021,12223
4/7/2021,20022
4/8/2021,41312
4/9/2021,44845
4/10/2021,40556
4/11/2021,31437
4/12/2021,15411
4/13/2021,21100
4/14/2021,46534
4/15/2021,49718
4/16/2021,43642
4/17/2021,40191
4/18/2021,30800
4/19/2021,15327
4/20/2021,21417
4/21/2021,48699
4/22/2021,51149
4/23/2021,44281
4/24/2021,39983
4/25/2021,31334
4/26/2021,15085
4/27/2021,21219
4/28/2021,43971
4/29/2021,43532
4/30/2021,37262
5/1/2021,35114
5/2/2021,27575
5/3/2021,12184
5/4/2021,16697
5/5/2021,38436
5/6/2021,38201
5/7/2021,31435
5/8/2021,28345
5/9/2021,22013
5/10/2021,9746
5/11/2021,13539
5/12/2021,30687
5/13/2021,30174
5/14/2021,17711
5/15/2021,13988
5/16/2021,15753
5/17/2021,7829
5/18/2021,9613
5/19/2021,22567
5/20/2021,20714
5/21/2021,15440
5/22/2021,13887
5/23/2021,10667
5/24/2021,3670
5/25/2021,3298
5/26/2021,6722
5/27/2021,13097
5/28/2021,12445
5/29/2021,9482
5/30/2021,6766
5/31/2021,2946
6/1/2021,5955
6/2/2021,12466
6/3/2021,10957
6/4/2021,7164
6/5/2021,5552
6/6/2021,5640
6/7/2021,2775
6/8/2021,4189
6/9/2021,8637
6/10/2021,6993
6/11/2021,5566
6/12/2021,4497
6/13/2021,3202
6/14/2021,1260
6/15/2021,2276
6/16/2021,4159
6/17/2021,3522
6/18/2021,2838
6/19/2021,2525
6/20/2021,1800
6/21/2021,674
6/22/2021,1487
6/23/2021,2611
6/24/2021,2208
6/25/2021,2025
6/26/2021,1810
6/27/2021,1182
6/28/2021,545
6/29/2021,1277
6/30/2021,2198
7/1/2021,2234
7/2/2021,1832
7/3/2021,1727
7/4/2021,1312
7/5/2021,533
7/6/2021,1433
7/7/2021,2744
7/8/2021,2482
7/9/2021,2469
7/10/2021,2448
7/11/2021,2044
7/12/2021,801
7/13/2021,2067
7/14/2021,4548
7/15/2021,4190
7/16/2021,3920
7/17/2021,4172
7/18/2021,3301
7/19/2021,1283
7/20/2021,3693
7/21/2021,6027
7/22/2021,5919
7/23/2021,5736
7/24/2021,5463
7/25/2021,4108
7/26/2021,1642
7/27/2021,4291
7/28/2021,7986
7/29/2021,7337
7/30/2021,6793
7/31/2021,6514
8/1/2021,3605
8/2/2021,1437
8/3/2021,3894
8/4/2021,6895
8/5/2021,6500
8/6/2021,6482
8/7/2021,6504
8/8/2021,5125
8/9/2021,2095
8/10/2021,5368
8/11/2021,10220
8/12/2021,10363
8/13/2021,10008
8/14/2021,10623
8/15/2021,8512
8/16/2021,3796
8/17/2021,8307
8/18/2021,16378
8/19/2021,16074
8/20/2021,15947
8/21/2021,16233
8/22/2021,12525
8/23/2021,5682
8/24/2021,12066
8/25/2021,23686
8/26/2021,23352
8/27/2021,21344
8/28/2021,19097
8/29/2021,15429
8/30/2021,6860
8/31/2021,13017
9/1/2021,25372
9/2/2021,25663
9/3/2021,22142
9/4/2021,21016
9/5/2021,16499
9/6/2021,7042
9/7/2021,12211
9/8/2021,26314
9/9/2021,24641
9/10/2021,21571
9/11/2021,19385
9/12/2021,14886
9/13/2021,5710
9/14/2021,11969
9/15/2021,23305
9/16/2021,21280
9/17/2021,17881
9/18/2021,15462
9/19/2021,12248
9/20/2021,4837
9/21/2021,9419
9/22/2021,19596
9/23/2021,18198
9/24/2021,15812
9/25/2021,14641
9/26/2021,11052
9/27/2021,4610
9/28/2021,10037
9/29/2021,22017
9/30/2021,19808
10/1/2021,14964
10/2/2021,13215
10/3/2021,9687
10/4/2021,4169
10/5/2021,8931
10/6/2021,19253
10/7/2021,17504
10/8/2021,15973
10/9/2021,14519
10/10/2021,11059
10/11/2021,4155
10/12/2021,9863
10/13/2021,19916
10/14/2021,18997
10/15/2021,17855
10/16/2021,17570
10/17/2021,13371
10/18/2021,5374
10/19/2021,12825
10/20/2021,30179
10/21/2021,28324
10/22/2021,27256
10/23/2021,26263
10/24/2021,20928
10/25/2021,8157
10/26/2021,18697
10/27/2021,41573
10/28/2021,43015
10/29/2021,38352
10/30/2021,35542
10/31/2021,26900
11/1/2021,11651
11/2/2021,17947
11/3/2021,38147
11/4/2021,56504
11/5/2021,57011
11/6/2021,52745
11/7/2021,37156
11/8/2021,18540
11/9/2021,37977
11/10/2021,73789
11/11/2021,79482
11/12/2021,77753
11/13/2021,72039
11/14/2021,53106
11/15/2021,29757
11/16/2021,54062
11/17/2021,98489
11/18/2021,98777
11/19/2021,95710
11/20/2021,97779
11/21/2021,66166
11/22/2021,38732
11/23/2021,72943
11/24/2021,116533
11/25/2021,118375
11/26/2021,112337
11/27/2021,100182
11/28/2021,70228
11/29/2021,39923
11/30/2021,69316
12/1/2021,106755
12/2/2021,107346
12/3/2021,98613
12/4/2021,90676
12/5/2021,61610
12/6/2021,33450
12/7/2021,61648
12/8/2021,100556
12/9/2021,97460
12/10/2021,83629
12/11/2021,74150
12/12/2021,50206
12/13/2021,22526
12/14/2021,45829
12/15/2021,87316
12/16/2021,76030
12/17/2021,68537
12/18/2021,59847
12/19/2021,41364
12/20/2021,17732
12/21/2021,39097
12/22/2021,69977
12/23/2021,59335
12/24/2021,50728
12/25/2021,31751
12/26/2021,15116
12/27/2021,15094
12/28/2021,35502
12/29/2021,62858
12/30/2021,60404
12/31/2021,60127
1/1/2022,61868
1/2/2022,30389
1/3/2022,31139
1/4/2022,76804
1/5/2022,137873
1/6/2022,137755
1/7/2022,120234
1/8/2022,119371
1/9/2022,79132
1/10/2022,50721
1/11/2022,114753
1/12/2022,183956
1/13/2022,188874
1/14/2022,179598
1/15/2022,172498
1/16/2022,122511
1/17/2022,76063
1/18/2022,176706
1/19/2022,270757
1/20/2022,299444
1/21/2022,308903
1/22/2022,307969
1/23/2022,205803
1/24/2022,132406
1/25/2022,297758
1/26/2022,413365
1/27/2022,416350
1/28/2022,425428
1/29/2022,401407
1/30/2022,266722
1/31/2022,159879
2/1/2022,308520
2/2/2022,447393
2/3/2022,464145
2/4/2022,459450
2/5/2022,406559
2/6/2022,258381
2/7/2022,160656
2/8/2022,345252
2/9/2022,486355
2/10/2022,479499
2/11/2022,445887
2/12/2022,400478
2/13/2022,237423
2/14/2022,143863
2/15/2022,307758
2/16/2022,443703
2/17/2022,446065
2/18/2022,413335
2/19/2022,346862
2/20/2022,232340
2/21/2022,124519
2/22/2022,270752
2/23/2022,423999
2/24/2022,403666
2/25/2022,368271
2/26/2022,332985
2/27/2022,210900
2/28/2022,107641
3/1/2022,237823
3/2/2022,358358
3/3/2022,379843
3/4/2022,393210
3/5/2022,351419
3/6/2022,226360
3/7/2022,147657
3/8/2022,306719
3/9/2022,458155
3/10/2022,483512
3/11/2022,470285
3/12/2022,441253
3/13/2022,288359
3/14/2022,164607
3/15/2022,384356
3/16/2022,526964
3/17/2022,567981
3/18/2022,544847
3/19/2022,470805
3/20/2022,264784
3/21/2022,165111
3/22/2022,439305
3/23/2022,563448
3/24/2022,568883
3/25/2022,528796
3/26/2022,451284
3/27/2022,255647
3/28/2022,128860
3/29/2022,382331
3/30/2022,507006
3/31/2022,480311
4/1/2022,443015
4/2/2022,347623
4/3/2022,177815
4/4/2022,88957
4/5/2022,296579
4/6/2022,402559
4/7/2022,360720
4/8/2022,320189
4/9/2022,272781
4/10/2022,145342
4/11/2022,81594
4/12/2022,267973
4/13/2022,347833
4/14/2022,303409
4/15/2022,287499
4/16/2022,116379
4/17/2022,99304
4/18/2022,65383
4/19/2022,70555
4/20/2022,303002
4/21/2022,342645
4/22/2022,297363
4/23/2022,228087
4/24/2022,103960
4/25/2022,51548
4/26/2022,227041
4/27/2022,266027
4/28/2022,220436
4/29/2022,180822
4/30/2022,149402
5/1/2022,92701
5/2/2022,43199
5/3/2022,235744
5/4/2022,289870
5/5/2022,244795
5/6/2022,218829
5/7/2022,182895
5/8/2022,73486
5/9/2022,36367
5/10/2022,230960
5/11/2022,258088
5/12/2022,209988
5/13/2022,176905
5/14/2022,154904
5/15/2022,54755
5/16/2022,26268
5/17/2022,178721
5/18/2022,185329
5/19/2022,146454
5/20/2022,120491
5/21/2022,108794
5/22/2022,37612
5/23/2022,18881
5/24/2022,128165
5/25/2022,127056
5/26/2022,96326
5/27/2022,22695
5/28/2022,88756
5/29/2022,28925
5/30/2022,17628
5/31/2022,127669
6/1/2022,118664
6/2/2022,103523
6/3/2022,97668
6/4/2022,90821
6/5/2022,29426
6/6/2022,16404
6/7/2022,21625
6/8/2022,164233
6/9/2022,189069
6/10/2022,164153
6/11/2022,150354
6/12/2022,45516
6/13/2022,28376
6/14/2022,200463
6/15/2022,215512
6/16/2022,188569
6/17/2022,85864
6/18/2022,178598
6/19/2022,53317
6/20/2022,30621
6/21/2022,243100
6/22/2022,286889
6/23/2022,261454
6/24/2022,233452
6/25/2022,200804
6/26/2022,62668
6/27/2022,34078
6/28/2022,269239
6/29/2022,318005
6/30/2022,288163
7/1/2022,290243
7/2/2022,249696
7/3/2022,62944
7/4/2022,35759
7/5/2022,317913
7/6/2022,359534
7/7/2022,335453
7/8/2022,291826
7/9/2022,251642
7/10/2022,62220
7/11/2022,37823
7/12/2022,344727
7/13/2022,380612
7/14/2022,356899
7/15/2022,307768
7/16/2022,285924
7/17/2022,66650
7/18/2022,34572
7/19/2022,353659
7/20/2022,377345
7/21/2022,321393
7/22/2022,272883
7/23/2022,235568
7/24/2022,58595
7/25/2022,31502
