time_iso8601,cases_Verbeek
1/3/2020,1
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,1
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,2
1/30/2020,2
1/31/2020,0
2/1/2020,4
2/2/2020,1
2/3/2020,0
2/4/2020,1
2/5/2020,4
2/6/2020,2
2/7/2020,1
2/8/2020,1
2/9/2020,0
2/10/2020,0
2/11/2020,1
2/12/2020,2
2/13/2020,1
2/14/2020,0
2/15/2020,0
2/16/2020,1
2/17/2020,0
2/18/2020,2
2/19/2020,1
2/20/2020,1
2/21/2020,2
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,1
2/26/2020,3
2/27/2020,8
2/28/2020,24
2/29/2020,45
3/1/2020,58
3/2/2020,88
3/3/2020,108
3/4/2020,213
3/5/2020,393
3/6/2020,465
3/7/2020,465
3/8/2020,355
3/9/2020,265
3/10/2020,870
3/11/2020,1488
3/12/2020,1895
3/13/2020,2478
3/14/2020,3668
3/15/2020,3258
3/16/2020,2450
3/17/2020,5095
3/18/2020,7598
3/19/2020,9013
3/20/2020,10123
3/21/2020,10140
3/22/2020,8393
3/23/2020,5665
3/24/2020,9328
3/25/2020,12193
3/26/2020,14208
3/27/2020,14758
3/28/2020,14953
3/29/2020,11811
3/30/2020,7703
3/31/2020,10325
4/1/2020,15149
4/2/2020,15659
4/3/2020,16374
4/4/2020,15466
4/5/2020,10853
4/6/2020,6338
4/7/2020,9158
4/8/2020,12971
4/9/2020,13203
4/10/2020,12291
4/11/2020,8378
4/12/2020,7196
4/13/2020,4673
4/14/2020,3998
4/15/2020,6173
4/16/2020,8313
4/17/2020,8546
4/18/2020,7623
4/19/2020,5270
4/20/2020,3440
4/21/2020,4280
4/22/2020,5465
4/23/2020,6225
4/24/2020,5230
4/25/2020,4763
4/26/2020,3180
4/27/2020,1745
4/28/2020,2785
4/29/2020,3683
4/30/2020,3570
5/1/2020,3660
5/2/2020,2295
5/3/2020,1555
5/4/2020,1058
5/5/2020,1818
5/6/2020,2735
5/7/2020,3048
5/8/2020,3008
5/9/2020,2450
5/10/2020,1693
5/11/2020,853
5/12/2020,1723
5/13/2020,2133
5/14/2020,2285
5/15/2020,2030
5/16/2020,1835
5/17/2020,1155
5/18/2020,793
5/19/2020,1350
5/20/2020,1825
5/21/2020,2080
5/22/2020,1045
5/23/2020,1315
5/24/2020,843
5/25/2020,548
5/26/2020,1028
5/27/2020,1543
5/28/2020,1633
5/29/2020,1323
5/30/2020,1115
5/31/2020,935
6/1/2020,445
6/2/2020,340
6/3/2020,768
6/4/2020,1243
6/5/2020,1323
6/6/2020,1083
6/7/2020,713
6/8/2020,410
6/9/2020,738
6/10/2020,1065
6/11/2020,1295
6/12/2020,708
6/13/2020,883
6/14/2020,753
6/15/2020,430
6/16/2020,648
6/17/2020,1295
6/18/2020,2168
6/19/2020,1913
6/20/2020,2475
6/21/2020,1425
6/22/2020,558
6/23/2020,1118
6/24/2020,1350
6/25/2020,1275
6/26/2020,1425
6/27/2020,1433
6/28/2020,815
6/29/2020,503
6/30/2020,1040
7/1/2020,1145
7/2/2020,1203
7/3/2020,1178
7/4/2020,1068
7/5/2020,735
7/6/2020,363
7/7/2020,808
7/8/2020,993
7/9/2020,1128
7/10/2020,1055
7/11/2020,1068
7/12/2020,693
7/13/2020,330
7/14/2020,820
7/15/2020,1175
7/16/2020,1355
7/17/2020,1398
7/18/2020,1308
7/19/2020,1098
7/20/2020,448
7/21/2020,1128
7/22/2020,1315
7/23/2020,1755
7/24/2020,1728
7/25/2020,2013
7/26/2020,1360
7/27/2020,530
7/28/2020,1318
7/29/2020,1888
7/30/2020,2285
7/31/2020,2163
8/1/2020,2282
8/2/2020,1407
8/3/2020,755
8/4/2020,1992
8/5/2020,2377
8/6/2020,2777
8/7/2020,2925
8/8/2020,2512
8/9/2020,1775
8/10/2020,792
8/11/2020,2760
8/12/2020,2977
8/13/2020,3862
8/14/2020,3760
8/15/2020,3435
8/16/2020,1897
8/17/2020,1230
8/18/2020,3847
8/19/2020,3820
8/20/2020,4380
8/21/2020,4050
8/22/2020,4142
8/23/2020,2297
8/24/2020,1410
8/25/2020,3570
8/26/2020,3720
8/27/2020,4052
8/28/2020,3865
8/29/2020,3480
8/30/2020,2082
8/31/2020,1335
9/1/2020,2943
9/2/2020,3305
9/3/2020,3530
9/4/2020,3788
9/5/2020,3745
9/6/2020,2765
9/7/2020,1448
9/8/2020,3533
9/9/2020,3453
9/10/2020,4363
9/11/2020,3973
9/12/2020,4168
9/13/2020,3070
9/14/2020,1905
9/15/2020,3723
9/16/2020,4998
9/17/2020,5448
9/18/2020,5900
9/19/2020,5418
9/20/2020,3480
9/21/2020,1723
9/22/2020,4128
9/23/2020,4525
9/24/2020,5535
9/25/2020,5973
9/26/2020,5833
9/27/2020,4460
9/28/2020,2185
9/29/2020,4583
9/30/2020,5405
10/1/2020,6848
10/2/2020,7323
10/3/2020,7323
10/4/2020,5490
10/5/2020,2890
10/6/2020,6038
10/7/2020,8965
10/8/2020,11250
10/9/2020,11683
10/10/2020,12673
10/11/2020,9065
10/12/2020,5688
10/13/2020,10480
10/14/2020,13413
10/15/2020,18118
10/16/2020,19756
10/17/2020,19943
10/18/2020,14168
10/19/2020,9188
10/20/2020,16133
10/21/2020,23588
10/22/2020,31001
10/23/2020,34771
10/24/2020,35123
10/25/2020,27718
10/26/2020,18638
10/27/2020,30076
10/28/2020,39871
10/29/2020,48121
10/30/2020,49609
10/31/2020,48519
11/1/2020,34975
11/2/2020,26335
11/3/2020,38105
11/4/2020,48355
11/5/2020,53013
11/6/2020,55711
11/7/2020,53916
11/8/2020,39803
11/9/2020,25315
11/10/2020,39993
11/11/2020,49050
11/12/2020,56773
11/13/2020,58916
11/14/2020,53308
11/15/2020,39520
11/16/2020,22120
11/17/2020,36748
11/18/2020,50956
11/19/2020,59186
11/20/2020,59393
11/21/2020,55798
11/22/2020,36908
11/23/2020,22023
11/24/2020,37670
11/25/2020,48530
11/26/2020,55063
11/27/2020,56856
11/28/2020,50395
11/29/2020,37360
11/30/2020,21953
12/1/2020,33237
12/2/2020,48180
12/3/2020,57990
12/4/2020,61122
12/5/2020,55395
12/6/2020,39300
12/7/2020,25552
12/8/2020,41020
12/9/2020,57055
12/10/2020,69037
12/11/2020,72555
12/12/2020,68137
12/13/2020,51562
12/14/2020,31247
12/15/2020,47522
12/16/2020,67260
12/17/2020,78415
12/18/2020,79905
12/19/2020,74222
12/20/2020,54317
12/21/2020,34777
12/22/2020,50677
12/23/2020,72347
12/24/2020,84845
12/25/2020,52797
12/26/2020,32862
12/27/2020,28877
12/28/2020,24520
12/29/2020,39247
12/30/2020,68872
12/31/2020,77645
1/1/2021,48891
1/2/2021,25609
1/3/2021,25002
1/4/2021,22059
1/5/2021,35891
1/6/2021,68561
1/7/2021,69843
1/8/2021,65211
1/9/2021,61333
1/10/2021,41666
1/11/2021,21179
1/12/2021,33734
1/13/2021,56476
1/14/2021,60266
1/15/2021,50986
1/16/2021,45804
1/17/2021,33572
1/18/2021,16482
1/19/2021,22919
1/20/2021,46164
1/21/2021,48681
1/22/2021,42056
1/23/2021,37581
1/24/2021,28937
1/25/2021,12535
1/26/2021,16872
1/27/2021,38791
1/28/2021,39539
1/29/2021,33404
1/30/2021,31412
1/31/2021,24877
2/1/2021,10525
2/2/2021,14657
2/3/2021,30750
2/4/2021,33545
2/5/2021,28807
2/6/2021,25052
2/7/2021,20952
2/8/2021,7732
2/9/2021,10497
2/10/2021,22727
2/11/2021,25702
2/12/2021,23422
2/13/2021,21340
2/14/2021,13965
2/15/2021,9402
2/16/2021,10972
2/17/2021,23077
2/18/2021,24982
2/19/2021,23025
2/20/2021,21785
2/21/2021,19425
2/22/2021,7555
2/23/2021,11015
2/24/2021,25415
2/25/2021,28267
2/26/2021,24747
2/27/2021,23670
2/28/2021,19150
3/1/2021,8630
3/2/2021,11722
3/3/2021,27419
3/4/2021,28282
3/5/2021,25342
3/6/2021,24134
3/7/2021,20745
3/8/2021,8405
3/9/2021,12125
3/10/2021,28789
3/11/2021,35004
3/12/2021,32904
3/13/2021,31392
3/14/2021,26169
3/15/2021,12087
3/16/2021,17130
3/17/2021,39469
3/18/2021,45899
3/19/2021,41834
3/20/2021,39254
3/21/2021,33044
3/22/2021,14887
3/23/2021,22254
3/24/2021,48626
3/25/2021,56599
3/26/2021,54774
3/27/2021,50099
3/28/2021,39459
3/29/2021,18955
3/30/2021,27509
3/31/2021,50969
4/1/2021,59959
4/2/2021,53534
4/3/2021,38697
4/4/2021,26497
4/5/2021,17857
4/6/2021,17547
4/7/2021,28744
4/8/2021,59309
4/9/2021,64381
4/10/2021,58224
4/11/2021,45132
4/12/2021,22125
4/13/2021,30292
4/14/2021,66806
4/15/2021,71376
4/16/2021,62654
4/17/2021,57699
4/18/2021,44217
4/19/2021,22005
4/20/2021,30747
4/21/2021,69914
4/22/2021,73431
4/23/2021,63571
4/24/2021,57401
4/25/2021,44984
4/26/2021,21657
4/27/2021,30462
4/28/2021,63126
4/29/2021,62496
4/30/2021,53494
5/1/2021,47887
5/2/2021,37605
5/3/2021,16617
5/4/2021,22771
5/5/2021,52417
5/6/2021,52097
5/7/2021,42870
5/8/2021,38655
5/9/2021,30021
5/10/2021,13292
5/11/2021,18464
5/12/2021,41850
5/13/2021,41150
5/14/2021,24154
5/15/2021,19076
5/16/2021,21484
5/17/2021,10677
5/18/2021,13109
5/19/2021,30776
5/20/2021,28248
5/21/2021,21056
5/22/2021,18939
5/23/2021,14547
5/24/2021,5005
5/25/2021,4497
5/26/2021,9167
5/27/2021,17861
5/28/2021,16972
5/29/2021,12932
5/30/2021,9227
5/31/2021,4017
6/1/2021,6095
6/2/2021,12759
6/3/2021,11215
6/4/2021,7332
6/5/2021,5682
6/6/2021,5772
6/7/2021,2840
6/8/2021,4287
6/9/2021,8840
6/10/2021,7157
6/11/2021,5697
6/12/2021,4602
6/13/2021,3277
6/14/2021,1290
6/15/2021,2330
6/16/2021,4257
6/17/2021,3605
6/18/2021,2905
6/19/2021,2585
6/20/2021,1842
6/21/2021,690
6/22/2021,1522
6/23/2021,2672
6/24/2021,2260
6/25/2021,2072
6/26/2021,1852
6/27/2021,1210
6/28/2021,557
6/29/2021,1307
6/30/2021,2250
7/1/2021,2167
7/2/2021,1777
7/3/2021,1675
7/4/2021,1272
7/5/2021,517
7/6/2021,1390
7/7/2021,2662
7/8/2021,2407
7/9/2021,2395
7/10/2021,2375
7/11/2021,1982
7/12/2021,777
7/13/2021,2005
7/14/2021,4412
7/15/2021,4065
7/16/2021,3802
7/17/2021,4047
7/18/2021,3202
7/19/2021,1245
7/20/2021,3582
7/21/2021,5847
7/22/2021,5742
7/23/2021,5564
7/24/2021,5299
7/25/2021,3985
7/26/2021,1592
7/27/2021,4162
7/28/2021,7747
7/29/2021,7117
7/30/2021,6589
7/31/2021,6319
8/1/2021,4910
8/2/2021,1957
8/3/2021,5302
8/4/2021,9390
8/5/2021,8852
8/6/2021,8827
8/7/2021,8857
8/8/2021,6980
8/9/2021,2852
8/10/2021,7310
8/11/2021,13917
8/12/2021,14112
8/13/2021,13629
8/14/2021,14467
8/15/2021,11592
8/16/2021,5170
8/17/2021,11312
8/18/2021,22304
8/19/2021,21889
8/20/2021,21716
8/21/2021,22106
8/22/2021,17057
8/23/2021,7737
8/24/2021,16432
8/25/2021,32256
8/26/2021,31801
8/27/2021,29066
8/28/2021,26006
8/29/2021,21011
8/30/2021,9342
8/31/2021,17727
9/1/2021,36444
9/2/2021,36862
9/3/2021,31805
9/4/2021,30187
9/5/2021,23700
9/6/2021,10115
9/7/2021,17540
9/8/2021,37797
9/9/2021,35395
9/10/2021,30985
9/11/2021,27845
9/12/2021,21382
9/13/2021,8202
9/14/2021,17192
9/15/2021,33475
9/16/2021,30567
9/17/2021,25685
9/18/2021,22210
9/19/2021,17592
9/20/2021,6947
9/21/2021,13530
9/22/2021,28147
9/23/2021,26140
9/24/2021,22712
9/25/2021,21030
9/26/2021,15875
9/27/2021,6622
9/28/2021,14417
9/29/2021,31625
9/30/2021,28452
10/1/2021,23749
10/2/2021,20974
10/3/2021,15374
10/4/2021,6617
10/5/2021,14174
10/6/2021,30556
10/7/2021,27781
10/8/2021,25351
10/9/2021,23044
10/10/2021,17552
10/11/2021,6595
10/12/2021,15654
10/13/2021,31609
10/14/2021,30151
10/15/2021,28339
10/16/2021,27886
10/17/2021,21222
10/18/2021,8530
10/19/2021,20354
10/20/2021,47898
10/21/2021,44953
10/22/2021,43258
10/23/2021,41683
10/24/2021,33216
10/25/2021,12947
10/26/2021,29674
10/27/2021,65982
10/28/2021,68269
10/29/2021,60870
10/30/2021,56410
10/31/2021,42693
11/1/2021,18632
11/2/2021,28702
11/3/2021,61007
11/4/2021,90364
11/5/2021,91174
11/6/2021,84351
11/7/2021,59422
11/8/2021,29650
11/9/2021,60734
11/10/2021,118006
11/11/2021,127111
11/12/2021,124346
11/13/2021,115209
11/14/2021,84929
11/15/2021,47589
11/16/2021,86459
11/17/2021,157508
11/18/2021,157968
11/19/2021,153063
11/20/2021,156373
11/21/2021,105816
11/22/2021,61942
11/23/2021,116654
11/24/2021,186365
11/25/2021,189310
11/26/2021,179655
11/27/2021,160215
11/28/2021,112311
11/29/2021,63847
11/30/2021,110854
12/1/2021,184025
12/2/2021,185045
12/3/2021,169991
12/4/2021,156308
12/5/2021,106205
12/6/2021,57661
12/7/2021,106270
12/8/2021,173340
12/9/2021,168003
12/10/2021,144161
12/11/2021,127822
12/12/2021,86545
12/13/2021,38831
12/14/2021,79000
12/15/2021,150516
12/16/2021,131062
12/17/2021,118144
12/18/2021,103165
12/19/2021,71303
12/20/2021,30567
12/21/2021,67396
12/22/2021,120627
12/23/2021,102282
12/24/2021,87445
12/25/2021,54734
12/26/2021,26057
12/27/2021,26019
12/28/2021,61198
12/29/2021,108355
12/30/2021,104125
12/31/2021,103647
1/1/2022,71652
1/2/2022,35195
1/3/2022,36064
1/4/2022,88951
1/5/2022,159678
1/6/2022,159541
1/7/2022,139250
1/8/2022,138250
1/9/2022,91647
1/10/2022,58743
1/11/2022,132901
1/12/2022,213049
1/13/2022,218745
1/14/2022,208002
1/15/2022,199779
1/16/2022,141887
1/17/2022,88092
1/18/2022,204653
1/19/2022,313578
1/20/2022,346802
1/21/2022,357757
1/22/2022,356676
1/23/2022,238351
1/24/2022,153347
1/25/2022,344850
1/26/2022,478741
1/27/2022,482197
1/28/2022,492711
1/29/2022,464891
1/30/2022,308905
1/31/2022,185165
2/1/2022,320361
2/2/2022,464563
2/3/2022,481958
2/4/2022,477083
2/5/2022,422162
2/6/2022,268297
2/7/2022,166822
2/8/2022,358502
2/9/2022,505020
2/10/2022,497901
2/11/2022,462999
2/12/2022,415848
2/13/2022,246535
2/14/2022,149384
2/15/2022,319570
2/16/2022,460732
2/17/2022,463185
2/18/2022,429198
2/19/2022,360174
2/20/2022,241257
2/21/2022,129298
2/22/2022,281143
2/23/2022,440272
2/24/2022,419158
2/25/2022,382405
2/26/2022,345765
2/27/2022,218994
2/28/2022,111772
3/1/2022,242408
3/2/2022,365267
3/3/2022,387166
3/4/2022,400791
3/5/2022,358194
3/6/2022,230724
3/7/2022,150503
3/8/2022,312632
3/9/2022,466988
3/10/2022,492833
3/11/2022,479352
3/12/2022,449760
3/13/2022,293918
3/14/2022,167780
3/15/2022,391766
3/16/2022,537123
3/17/2022,578931
3/18/2022,555351
3/19/2022,479881
3/20/2022,269889
3/21/2022,168294
3/22/2022,447774
3/23/2022,574310
3/24/2022,579850
3/25/2022,538990
3/26/2022,459984
3/27/2022,260576
3/28/2022,131345
3/29/2022,389702
3/30/2022,516780
3/31/2022,489571
4/1/2022,440950
4/2/2022,346002
4/3/2022,176986
4/4/2022,88542
4/5/2022,295196
4/6/2022,400682
4/7/2022,359038
4/8/2022,318697
4/9/2022,271509
4/10/2022,144664
4/11/2022,81214
4/12/2022,266723
4/13/2022,346211
4/14/2022,301994
4/15/2022,286159
4/16/2022,115837
4/17/2022,98842
4/18/2022,65078
4/19/2022,70226
4/20/2022,301590
4/21/2022,341048
4/22/2022,295977
4/23/2022,227024
4/24/2022,103475
4/25/2022,51308
4/26/2022,225983
4/27/2022,264787
4/28/2022,219409
4/29/2022,179979
4/30/2022,148705
5/1/2022,78236
5/2/2022,36458
5/3/2022,198957
5/4/2022,244637
5/5/2022,206596
5/6/2022,184682
5/7/2022,154355
5/8/2022,62019
5/9/2022,30692
5/10/2022,194920
5/11/2022,217815
5/12/2022,177221
5/13/2022,149300
5/14/2022,130732
5/15/2022,46211
5/16/2022,22169
5/17/2022,150832
5/18/2022,156410
5/19/2022,123601
5/20/2022,101689
5/21/2022,91817
5/22/2022,31742
5/23/2022,15934
5/24/2022,108165
5/25/2022,107230
5/26/2022,81295
5/27/2022,19154
5/28/2022,74906
5/29/2022,24412
5/30/2022,14877
5/31/2022,107747
6/1/2022,183831
6/2/2022,160375
6/3/2022,151305
6/4/2022,140697
6/5/2022,45586
6/6/2022,25412
6/7/2022,33501
6/8/2022,254426
6/9/2022,292901
6/10/2022,254301
6/11/2022,232925
6/12/2022,70513
6/13/2022,43959
6/14/2022,310552
6/15/2022,333866
6/16/2022,292126
6/17/2022,133018
6/18/2022,276680
6/19/2022,82598
6/20/2022,47438
6/21/2022,376604
6/22/2022,444441
6/23/2022,405038
6/24/2022,361658
6/25/2022,311080
6/26/2022,97084
6/27/2022,52793
6/28/2022,417098
6/29/2022,492646
6/30/2022,446414
7/1/2022,415258
7/2/2022,357246
7/3/2022,90055
7/4/2022,51161
7/5/2022,454845
7/6/2022,514394
7/7/2022,479940
7/8/2022,417522
7/9/2022,360030
7/10/2022,89020
7/11/2022,54114
7/12/2022,493209
7/13/2022,544551
7/14/2022,510624
7/15/2022,440330
7/16/2022,409078
7/17/2022,95358
7/18/2022,49462
7/19/2022,505988
7/20/2022,539877
7/21/2022,459824
7/22/2022,390420
7/23/2022,337033
7/24/2022,83834
7/25/2022,45071
